cluster_id,application_id,app_number,start_time,end_time,duration_sec
1440487435730,application_1440487435730_0039,0039,2015-09-01 18:19:50,2015-09-01 18:19:50,0.0
1448006111297,application_1448006111297_0137,0137,2016-04-07 10:45:52,2016-04-07 11:28:11,2539.0
1448006111297,application_1448006111297_0138,0138,2016-04-07 12:15:41,2016-04-07 12:22:08,387.0
1460011102909,application_1460011102909_0176,0176,2016-07-26 12:02:27,2016-07-26 12:19:25,1018.0
1472621869829,application_1472621869829_0081,0081,2016-09-09 07:44:12,2016-09-09 07:44:12,0.0
1472621869829,application_1472621869829_0082,0082,2016-09-09 07:45:59,2016-09-09 07:45:59,0.0
1472621869829,application_1472621869829_0083,0083,2016-09-09 07:47:08,2016-09-09 07:47:09,1.0
1472621869829,application_1472621869829_0084,0084,2016-09-09 07:48:49,2016-09-09 07:48:49,0.0
1472621869829,application_1472621869829_0085,0085,2016-09-09 07:51:44,2016-09-09 07:51:44,0.0
1472621869829,application_1472621869829_0086,0086,2016-09-09 07:53:05,2016-09-09 07:53:05,0.0
1472621869829,application_1472621869829_0087,0087,2016-09-09 08:05:19,2016-09-09 08:05:19,0.0
1472621869829,application_1472621869829_0088,0088,2016-09-09 10:07:06,2016-09-09 10:07:06,0.0
1474351042505,application_1474351042505_2578,2578,2016-11-19 00:59:04,2016-11-19 00:59:04,0.0
1485248649253,application_1485248649253_0001,0001,2017-01-24 17:00:35,2017-01-24 17:13:19,764.0
1485248649253,application_1485248649253_0002,0002,2017-02-01 15:53:06,2017-02-02 03:30:45,41859.0
1485248649253,application_1485248649253_0003,0003,2017-02-09 19:44:28,2017-02-09 19:56:53,745.0
1485248649253,application_1485248649253_0004,0004,2017-02-09 19:56:42,2017-02-09 20:03:43,421.0
1485248649253,application_1485248649253_0005,0005,2017-02-09 20:17:54,2017-02-09 20:25:41,467.0
1485248649253,application_1485248649253_0006,0006,2017-02-09 20:36:18,2017-02-09 20:44:05,467.0
1485248649253,application_1485248649253_0007,0007,2017-03-14 20:57:10,2017-03-14 21:11:24,854.0
1485248649253,application_1485248649253_0008,0008,2017-03-14 21:00:32,2017-03-14 21:13:59,807.0
1485248649253,application_1485248649253_0009,0009,2017-03-14 21:03:00,2017-03-14 21:14:41,701.0
1485248649253,application_1485248649253_0010,0010,2017-03-14 21:11:59,2017-03-14 21:21:44,585.0
1485248649253,application_1485248649253_0011,0011,2017-03-14 21:13:45,2017-03-14 21:22:44,539.0
1485248649253,application_1485248649253_0012,0012,2017-03-14 21:22:21,2017-03-14 21:31:20,539.0
1485248649253,application_1485248649253_0014,0014,2017-03-14 21:24:48,2017-03-14 21:31:23,395.0
1485248649253,application_1485248649253_0015,0015,2017-03-14 21:24:37,2017-03-14 21:33:36,539.0
1485248649253,application_1485248649253_0016,0016,2017-03-14 21:28:04,2017-03-14 21:32:46,282.0
1485248649253,application_1485248649253_0017,0017,2017-03-14 21:23:34,2017-03-14 21:38:38,904.0
1485248649253,application_1485248649253_0018,0018,2017-03-14 21:27:12,2017-03-14 21:40:13,781.0
1485248649253,application_1485248649253_0019,0019,2017-03-14 21:31:38,2017-03-14 21:46:41,903.0
1485248649253,application_1485248649253_0020,0020,2017-03-14 21:40:53,2017-03-14 21:46:10,317.0
1485248649253,application_1485248649253_0021,0021,2017-03-14 21:58:45,2017-03-14 21:58:45,0.0
1485248649253,application_1485248649253_0022,0022,2017-03-14 21:53:29,2017-03-14 22:08:33,904.0
1485248649253,application_1485248649253_0023,0023,2017-03-14 22:16:13,2017-03-14 22:36:35,1222.0
1485248649253,application_1485248649253_0024,0024,2017-03-14 22:28:07,2017-03-14 22:51:06,1379.0
1485248649253,application_1485248649253_0026,0026,2017-03-16 16:52:38,2017-03-16 16:57:20,282.0
1485248649253,application_1485248649253_0027,0027,2017-03-16 17:12:57,2017-03-16 17:26:44,827.0
1485248649253,application_1485248649253_0029,0029,2017-03-16 17:23:14,2017-03-16 17:40:38,1044.0
1485248649253,application_1485248649253_0030,0030,2017-03-16 20:13:51,2017-03-16 20:33:32,1181.0
1485248649253,application_1485248649253_0031,0031,2017-03-21 00:18:01,2017-03-21 00:23:21,320.0
1485248649253,application_1485248649253_0032,0032,2017-03-21 00:30:08,2017-03-21 00:35:42,334.0
1485248649253,application_1485248649253_0033,0033,2017-03-21 00:29:57,2017-03-21 00:36:52,415.0
1485248649253,application_1485248649253_0034,0034,2017-03-21 09:38:03,2017-03-21 09:48:24,621.0
1485248649253,application_1485248649253_0035,0035,2017-03-21 09:56:38,2017-03-21 10:30:24,2026.0
1485248649253,application_1485248649253_0036,0036,2017-03-21 11:43:42,2017-03-21 12:22:14,2312.0
1485248649253,application_1485248649253_0037,0037,2017-03-23 14:12:27,2017-03-23 14:36:47,1460.0
1485248649253,application_1485248649253_0038,0038,2017-03-23 14:41:09,2017-03-23 15:14:46,2017.0
1485248649253,application_1485248649253_0039,0039,2017-03-23 14:49:40,2017-03-23 15:23:34,2034.0
1485248649253,application_1485248649253_0040,0040,2017-03-23 15:49:39,2017-03-23 15:51:18,99.0
